antecedents,consequents,support,confidence,lift
sex=Female,"fbs=False, no_disease",0.1413,0.6701,1.7464
"exang=True, fbs=False",slope=flat,0.1815,0.6549,1.7464
"bp=prehyper, dp=mild, exang=False",no_disease,0.1598,0.7778,1.741
"fbs=False, slope=upsloping","exang=False, hr=high",0.1065,0.6405,1.7383
"no_disease, thal=normal","exang=False, fbs=False",0.1141,0.7609,1.737
"bp=prehyper, dp=mild, hr=high",no_disease,0.1239,0.7755,1.7359
"fbs=False, thal=normal","exang=False, no_disease",0.1141,0.6325,1.7319
cp=atypical angina,"exang=False, fbs=False",0.1435,0.7586,1.7318
"cp=asymptomatic, fbs=False, hr=medium",slope=flat,0.1228,0.6494,1.7318
"hr=high, sex=Female",no_disease,0.1076,0.7734,1.7313
"sex=Male, slope=flat",exang=True,0.1902,0.6341,1.731
thal=normal,"exang=False, hr=high",0.1359,0.6378,1.7308
"dp=mild, sex=Female","exang=False, fbs=False",0.1022,0.7581,1.7306
"disease, exang=True","cp=asymptomatic, fbs=False",0.1043,0.6621,1.7304
"exang=False, thal=normal",no_disease,0.1293,0.7727,1.7297
"bp=prehyper, no_disease","dp=mild, fbs=False",0.1533,0.7121,1.7286
"cp=atypical angina, no_disease","fbs=False, hr=high",0.1087,0.6667,1.7277
"bp=prehyper, no_disease","exang=False, hr=high",0.137,0.6364,1.727
"exang=False, fbs=False, thal=normal",hr=high,0.1196,0.8333,1.7267
"cp=atypical angina, exang=False, hr=high",dp=mild,0.1109,0.8718,1.7248
ca=0.0,"exang=False, no_disease",0.1239,0.6298,1.7245
ca=0.0,"exang=False, hr=high",0.125,0.6354,1.7243
"dp=moderate, sex=Male",slope=flat,0.1087,0.6452,1.7204
"hr=high, thal=normal","exang=False, fbs=False",0.1196,0.7534,1.72
"ca=0.0, fbs=False","exang=False, hr=high",0.1109,0.6335,1.7193
"exang=True, unknown","cp=asymptomatic, sex=Male",0.1185,0.7956,1.7182
"chol=high, cp=asymptomatic, sex=Male",exang=True,0.1033,0.6291,1.7175
"ca=0.0, no_disease","exang=False, fbs=False",0.1087,0.7519,1.7164
"dp=mild, slope=upsloping",hr=high,0.1196,0.8271,1.7137
"hr=high, no_disease","dp=mild, fbs=False",0.2087,0.7059,1.7135
"chol=high, no_disease","exang=False, hr=high",0.1152,0.631,1.7123
"bp=prehyper, exang=False, fbs=False",no_disease,0.1696,0.7647,1.7118
"dp=mild, exang=False, thal=normal",hr=high,0.1033,0.8261,1.7117
"exang=False, fbs=False, hr=high",no_disease,0.2293,0.7645,1.7113
"chol=high, dp=mild, exang=False",no_disease,0.1196,0.7639,1.7099
"bp=prehyper, exang=False, hr=high",no_disease,0.137,0.7636,1.7094
"cp=atypical angina, exang=False, fbs=False",dp=mild,0.1239,0.8636,1.7087
"fbs=False, slope=flat",exang=True,0.1815,0.6255,1.7075
"no_disease, slope=upsloping",hr=high,0.112,0.824,1.7074
"age=40-50, dp=mild",no_disease,0.1152,0.7626,1.707
